2019-04-30 14:46:02,124 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20033} enter cache
2019-04-30 14:46:02,127 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20019} exit cache
2019-04-30 14:46:02,127 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20034} enter cache
2019-04-30 14:46:02,132 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20020} exit cache
2019-04-30 14:46:02,132 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20035} enter cache
2019-04-30 14:46:02,141 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20021} exit cache
2019-04-30 14:46:02,141 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20036} enter cache
2019-04-30 14:46:02,144 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20022} exit cache
2019-04-30 14:46:02,144 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20037} enter cache
2019-04-30 14:46:02,147 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20023} exit cache
2019-04-30 14:46:02,147 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20038} enter cache
2019-04-30 14:46:02,150 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20024} exit cache
2019-04-30 14:46:02,150 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20039} enter cache
2019-04-30 14:46:02,153 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20025} exit cache
2019-04-30 14:46:02,153 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20040} enter cache
2019-04-30 14:46:02,156 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20026} exit cache
